ptpd2:
   -gGW          Protocol mode (slave/master with ntp/master without ntp)
   -b <dev>      Interface to use

   -cC  -DVfS    Console / verbose console;     Dump stats / Interval / Output file / no Syslog
   -uU           Unicast/Hybrid mode


   -hHB           Summary / Complete help file / run-time debug level

ERROR: Please run this daemon as root

# Timestamp, State, Clock ID, One Way Delay, Offset From Master, Slave to Master, Master to Slave, Drift, Discarded Packet Count, Last packet Received
2013-09-11 11:56:05.374298, init, 
2013-09-11 11:56:05.439008, lstn_init,  1 
2013-09-11 11:56:44.752656, slv, 406c8ffffe15d361(unknown)/01,  0.000324090, -6.443205983,  6.443555000, -6.442880000, 0, -35, D
2013-09-11 11:56:45.002592, slv, 406c8ffffe15d361(unknown)/01,  0.000323732, -6.443205983,  6.443450000, -6.442880000, 0, -36, D
2013-09-11 11:56:45.365869, slv, 406c8ffffe15d361(unknown)/01,  0.000323732, -6.443240732,  6.443450000, -6.442917000, 0, -36, S
2013-09-11 11:56:46.365439, slv, 406c8ffffe15d361(unknown)/01,  0.000323732, -6.443313732,  6.443450000, -6.442990000, 0, -36, S
2013-09-11 11:56:46.377642, slv, 406c8ffffe15d361(unknown)/01,  0.000322806, -6.443313732,  6.443578000, -6.442990000, 0, -37, D
2013-09-11 11:56:47.365821, slv, 406c8ffffe15d361(unknown)/01,  0.000322806, -6.443292806,  6.443578000, -6.442970000, 0, -37, S
2013-09-11 11:56:47.565127, slv, 406c8ffffe15d361(unknown)/01,  0.000322863, -6.443292806,  6.443682000, -6.442970000, 0, -38, D
2013-09-11 11:56:48.365389, slv, 406c8ffffe15d361(unknown)/01,  0.000322863, -6.443384863,  6.443682000, -6.443062000, 0, -38, S
2013-09-11 11:56:48.502713, slv, 406c8ffffe15d361(unknown)/01,  0.000323866, -6.443384863,  6.443798000, -6.443062000, 0, -39, D
2013-09-11 11:56:49.365643, slv, 406c8ffffe15d361(unknown)/01,  0.000323866, -6.443435866,  6.443798000, -6.443112000, 0, -39, S
2013-09-11 11:56:50.002812, slv, 406c8ffffe15d361(unknown)/01,  0.000325231, -6.443435866,  6.443890000, -6.443112000, 0, -40, D
2013-09-11 11:56:50.365206, slv, 406c8ffffe15d361(unknown)/01,  0.000325231, -6.443523231,  6.443890000, -6.443198000, 0, -40, S
2013-09-11 11:56:50.565293, slv, 406c8ffffe15d361(unknown)/01,  0.000326194, -6.443523231,  6.443879000, -6.443198000, 0, -41, D
2013-09-11 11:56:51.365622, slv, 406c8ffffe15d361(unknown)/01,  0.000326194, -6.443546194,  6.443879000, -6.443220000, 0, -41, S
2013-09-11 11:56:52.126795, slv, 406c8ffffe15d361(unknown)/01,  0.000326909, -6.443546194,  6.443964000, -6.443220000, 0, -42, D
2013-09-11 11:56:52.366037, slv, 406c8ffffe15d361(unknown)/01,  0.000326909, -6.443630909,  6.443964000, -6.443304000, 0, -42, S
2013-09-11 11:56:52.377594, slv, 406c8ffffe15d361(unknown)/01,  0.000327306, -6.443630909,  6.443936000, -6.443304000, 0, -43, D
2013-09-11 11:56:53.365408, slv, 406c8ffffe15d361(unknown)/01,  0.000327306, -6.443670306,  6.443936000, -6.443343000, 0, -43, S
2013-09-11 11:56:54.127553, slv, 406c8ffffe15d361(unknown)/01,  0.000327259, -6.443670306,  6.444012000, -6.443343000, 0, -44, D
2013-09-11 11:56:54.365926, slv, 406c8ffffe15d361(unknown)/01,  0.000327259, -6.443703259,  6.444012000, -6.443376000, 0, -44, S
2013-09-11 11:56:54.689815, slv, 406c8ffffe15d361(unknown)/01,  0.000326830, -6.443703259,  6.443939000, -6.443376000, 0, -45, D
