ptpd2:
   -gGW          Protocol mode (slave/master with ntp/master without ntp)
   -b <dev>      Interface to use

   -cC  -DVfS    Console / verbose console;     Dump stats / Interval / Output file / no Syslog
   -uU           Unicast/Hybrid mode


   -hHB           Summary / Complete help file / run-time debug level

ERROR: Please run this daemon as root

# Timestamp, State, Clock ID, One Way Delay, Offset From Master, Slave to Master, Master to Slave, Drift, Discarded Packet Count, Last packet Received
2013-09-12 12:12:47.021235, init, 
2013-09-12 12:12:47.086409, lstn_init,  1 
2013-09-12 12:12:59.085927, lstn_init,  1 
2013-09-12 12:13:11.086017, lstn_init,  1 
2013-09-12 12:14:04.586503, slv, 002215fffe2eecc9(unknown)/01,  0.000263230,  10.591239808, -10.591019758,  10.591503321, 0, -42, D
2013-09-12 12:14:04.946607, slv, 002215fffe2eecc9(unknown)/01,  0.000263230,  10.591215845, -10.591019758,  10.591479075, 0, -42, S
2013-09-12 12:14:05.148991, slv, 002215fffe2eecc9(unknown)/01,  0.000263010,  10.591215845, -10.590947391,  10.591479075, 0, -43, D
2013-09-12 12:14:05.946662, slv, 002215fffe2eecc9(unknown)/01,  0.000263010,  10.591201129, -10.590947391,  10.591464139, 0, -43, S
2013-09-12 12:14:06.711044, slv, 002215fffe2eecc9(unknown)/01,  0.000263080,  10.591201129, -10.590931249,  10.591464139, 0, -44, D
2013-09-12 12:14:06.946709, slv, 002215fffe2eecc9(unknown)/01,  0.000263080,  10.591203404, -10.590931249,  10.591466484, 0, -44, S
2013-09-12 12:14:06.960683, slv, 002215fffe2eecc9(unknown)/01,  0.000263312,  10.591203404, -10.590905139,  10.591466484, 0, -45, D
2013-09-12 12:14:07.946828, slv, 002215fffe2eecc9(unknown)/01,  0.000263312,  10.591247537, -10.590905139,  10.591510849, 0, -45, S
2013-09-12 12:14:08.710702, slv, 002215fffe2eecc9(unknown)/01,  0.000263827,  10.591247537, -10.590923949,  10.591510849, 0, -46, D
2013-09-12 12:14:08.946643, slv, 002215fffe2eecc9(unknown)/01,  0.000263827,  10.591181133, -10.590923949,  10.591444960, 0, -46, S
2013-09-12 12:14:09.273758, slv, 002215fffe2eecc9(unknown)/01,  0.000264101,  10.591181133, -10.590924829,  10.591444960, 0, -47, D
2013-09-12 12:14:09.836393, slv, 002215fffe2eecc9(unknown)/01,  0.000264048,  10.591181133, -10.590918619,  10.591444960, 0, -48, D
2013-09-12 12:14:09.946757, slv, 002215fffe2eecc9(unknown)/01,  0.000264048,  10.591190676, -10.590918619,  10.591454724, 0, -48, S
2013-09-12 12:14:10.946675, slv, 002215fffe2eecc9(unknown)/01,  0.000264048,  10.591119991, -10.590918619,  10.591384039, 0, -48, S
2013-09-12 12:14:11.710863, slv, 002215fffe2eecc9(unknown)/01,  0.000263944,  10.591119991, -10.590874402,  10.591384039, 0, -49, D
2013-09-12 12:14:11.946656, slv, 002215fffe2eecc9(unknown)/01,  0.000263944,  10.591179977, -10.590874402,  10.591443921, 0, -49, S
2013-09-12 12:14:12.946632, slv, 002215fffe2eecc9(unknown)/01,  0.000263944,  10.591122889, -10.590874402,  10.591386833, 0, -49, S
2013-09-12 12:14:13.586568, slv, 002215fffe2eecc9(unknown)/01,  0.000263971,  10.591122889, -10.590835114,  10.591386833, 0, -50, D
2013-09-12 12:14:13.946672, slv, 002215fffe2eecc9(unknown)/01,  0.000263971,  10.591114712, -10.590835114,  10.591378683, 0, -50, S
2013-09-12 12:14:14.946588, slv, 002215fffe2eecc9(unknown)/01,  0.000263971,  10.591042830, -10.590835114,  10.591306801, 0, -50, S
2013-09-12 12:14:15.523806, slv, 002215fffe2eecc9(unknown)/01,  0.000264033,  10.591042830, -10.590789803,  10.591306801, 0, -51, D
2013-09-12 12:14:15.946649, slv, 002215fffe2eecc9(unknown)/01,  0.000264033,  10.591116114, -10.590789803,  10.591380147, 0, -51, S
2013-09-12 12:14:15.960820, slv, 002215fffe2eecc9(unknown)/01,  0.000264193,  10.591116114, -10.590807502,  10.591380147, 0, -52, D
2013-09-12 12:14:16.649170, slv, 002215fffe2eecc9(unknown)/01,  0.000264901,  10.591116114, -10.590745780,  10.591380147, 0, -53, D
2013-09-12 12:14:16.946525, slv, 002215fffe2eecc9(unknown)/01,  0.000264901,  10.591021953, -10.590745780,  10.591286854, 0, -53, S
